Grafik Titel (*),Beschreibung (*),Unterkategorie Level - 1 (*),Keywords (getrennt durch Komma),Artikelbild Dateiname1 (*),Artikelbild Dateiname2,Artikelbild Dateiname3,Artikelbild Dateiname4,Artikelbild Dateiname5,Wasserzeichen zu Bildern hinzufügen,Verfügbarkeit (*),Preis,Format,Rechte (*),Epoche (*),Jahr,Farbe,Artikelgröße (Länge),Artikelgröße (Breite),Artikelgröße (Höhe),Artikelgröße (Unit)
"Winterliebe","Siehe Bild",Dokumente,"Bucheinband, Cover, Buch",1690929735436_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Fegefeuer","Siehe Bild",Dokumente,"Buch, Krimi, Roman, Spannung, Schund, Bucheinband, Cover",1690929735315_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Celine, Reise Ans Ende Der Nacht","Siehe Bild",Dokumente,"Bucheinband, Cover, Buch",1690929735607_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Agatha Christie Schnallenschuhe u.a. Krimis","Siehe Bild",Dokumente,"Bucheinband, Cover, Buch, Krimi, Roman, Spannung, Schund",1690929735762_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Niemandsland","Siehe Bild",Dokumente,"Bucheinband, Cover, Buch",1690929735794_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Schatz Du Bist So Kalt","Siehe Bild",Dokumente,"Spannung, schwarzer Humor, Bucheinband, Cover, Buch, Krimi, Roman",1690929735828_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Krieg Und Frieden","Siehe Bild",Dokumente,"Bucheinband, Cover, Buch",1690929735809_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
