Grafik Titel (*),Beschreibung (*),Unterkategorie Level - 1 (*),Keywords (getrennt durch Komma),Artikelbild Dateiname1 (*),Artikelbild Dateiname2,Artikelbild Dateiname3,Artikelbild Dateiname4,Artikelbild Dateiname5,Wasserzeichen zu Bildern hinzufügen,Verfügbarkeit (*),Preis,Format,Rechte (*),Epoche (*),Jahr,Farbe,Artikelgröße (Länge),Artikelgröße (Breite),Artikelgröße (Höhe),Artikelgröße (Unit)
"nachgebaute Textplakate","Diese für den Film “Der Teufelsgeiger” (2013) und andere Filme nachgebauten Plakate stehen exemplarisch für viele historische, typografische Plakate, die wir bereits von nicht druckbaren Vorlagen reproduziert haben. Gerne reproduzieren wir historische Plakate, wenn das vorhandene Bild-Material nicht für den Druck ausreicht. Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Schlagwort: Plakat",1690577126756_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Free-Club “angry bear”","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat, Event, rechtefreies Plakat, Party, Hochformat, Nightlife, Musik, Nachtclub, Veranstaltung, Bar, Konzert, Jugendkultur, Pop, Sänger, Jugendzimmer, blau",1690577128486_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Steirische Credit Bank  Kinder-Zukunft","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat, Bankfoyer, rechtefreies Plakat, Fake-Bank, Hochformat, Bank, Geldwesen, Kreditinstitut, Werbung, Werbeplakat, Finanzen, Schalter, Geld",1690577129000_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Devut Guelogloglu","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Kultur, Jugendkultur, Pop, Sänger, Türkische Schlager, Plakat, rechtefreies Plakat, Hochformat, Musik, Veranstaltung, Konzert",1690577129002_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Mein Kauf 25 Jahre Mineralwasser","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"gelb, rechtefreies Plakat, Bio, rechtefrei, Hochformat, Werbung, Werbeplakat, Supermarkt, Markt, Aktionsangebote, rot, Plakat",1690577129358_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Luxx Kino “Couples Night”","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"türkis, Plakat, rechtefreies Plakat, rechtefrei, Hochformat, Werbung, Werbeplakat, Plakat rechtefrei, Filmplakat, Kino, blau",1690577129617_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Free-Club “cycling rabbit”","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Jugendzimmer, blau, Plakat, Event, rechtefreies Plakat, Party, Hochformat, Nightlife, Musik, Nachtclub, Veranstaltung, Bar, Konzert, Jugendkultur, Pop, Sänger",1690577130012_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Sozialer Aufstand","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Plakat, Hochformat, Links, Politisch, Punks, Demonstration",1690577130434_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Sommerfest","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Feier, Feuerwehr, Dorf, Kleinstadt, Frühschoppen, Sommerfest, Gemeinde, Plakat, schwarz-gelb, Hochformat, Fest",1690577130846_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Wohnen in Wien “Ihr Heim liegt uns am Herzen”","Informationen zu unseren Papierarten/Druckmedien findest Du hier: Papierarten-Info.",Poster,"Not, Unterstützung, Rentner, Armut, Plakat, Familien, rechtefreies Plakat, Wohnug, Querformat, wohnen, gelb, Poster, Soziales, grün, Sozialamt, Sozial, Stadt Wien",1690577131242_1.jpg,,,,,no,In gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
