Grafik Titel (*),Beschreibung (*),Unterkategorie Level - 1 (*),Keywords (getrennt durch Komma),Artikelbild Dateiname1 (*),Artikelbild Dateiname2,Artikelbild Dateiname3,Artikelbild Dateiname4,Artikelbild Dateiname5,Wasserzeichen zu Bildern hinzufügen,Verfügbarkeit (*),Preis,Format,Rechte (*),Epoche (*),Jahr,Farbe,Artikelgröße (Länge),Artikelgröße (Breite),Artikelgröße (Höhe),Artikelgröße (Unit)
"Fegefeuer","Siehe Bild",Dokumente,"Bucheinband, Cover, Buch, Krimi, Roman, Spannung, Schund",1691012591333_1.jpg,,,,,no,in gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Celine, Reise Ans Ende Der Nacht","Siehe Bild",Dokumente,"Bucheinband, Cover, Buch",1691012591389_1.jpg,,,,,no,in gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Krieg Und Frieden","Siehe Bild",Dokumente,"Bucheinband, Cover, Buch",1691012591394_1.jpg,,,,,no,in gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Schatz Du Bist So Kalt","Siehe Bild",Dokumente,"Bucheinband, Cover, Buch, Krimi, Roman, Spannung, schwarzer Humor",1691012591407_1.jpg,,,,,no,in gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Niemandsland","Siehe Bild",Dokumente,"Bucheinband, Cover, Buch",1691012591413_1.jpg,,,,,no,in gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Agatha Christie Schnallenschuhe u.a. Krimis","Siehe Bild",Dokumente,"Bucheinband, Cover, Buch, Krimi, Roman, Spannung, Schund",1691012591410_1.jpg,,,,,no,in gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
"Winterliebe","Siehe Bild",Dokumente,"Bucheinband, Cover, Buch",1691012591438_1.jpg,,,,,no,in gedruckter Form,,Pixelgrafik,Rechte liegen beim Grafiker,ab 2010,,,,,,
